Sector,Thousands
"Agriculture, forestry and fisheries",52.0
Mining,2.2
Manufacturing (manufacturing),8.7
Provision of electricity gas steam,1.6
Water supply purification treatment of waste and receipt of secondary raw materials,0.8
Building,22.2
Wholesale and retail trade; repair of cars and motorcycles,19.7
Transport activities and storage of goods,7.4
Activity of hotels and restaurants,13.6
Information and communication,1.8
Financial intermediation and insurance,0.9
Operations with real estate,0.0
"Professional, scientific technical activity",1.9
Administrative and support activities,0.8
Public administration,9.2
Education,13.7
Public health and social services,5.5
"Art, Entertainment and Recreation",0.8
Other servicing activities,2.5
Activities of private households,0.0
